,中华人民共和国,0,,1645349604927082496,0,0,,1,7270
110000000000,北京市,1,,1645349607464636416,0,0,1645349604927082496,2,37
120000000000,天津市,1,,1645349607464636417,0,0,1645349604927082496,38,73
130000000000,河北省,1,,1645349607464636418,0,0,1645349604927082496,74,499
140000000000,山西省,1,,1645349607468830720,0,0,1645349604927082496,500,789
150000000000,内蒙古自治区,1,,1645349607468830721,0,0,1645349604927082496,790,1049
210000000000,辽宁省,1,,1645349607468830722,0,0,1645349604927082496,1050,1307
220000000000,吉林省,1,,1645349607468830723,0,0,1645349604927082496,1308,1481
230000000000,黑龙江省,1,,1645349607468830724,0,0,1645349604927082496,1482,1787
310000000000,上海市,1,,1645349607473025024,0,0,1645349604927082496,1788,1823
320000000000,江苏省,1,,1645349607473025025,0,0,1645349604927082496,1824,2089
330000000000,浙江省,1,,1645349607473025026,0,0,1645349604927082496,2090,2315
340000000000,安徽省,1,,1645349607473025027,0,0,1645349604927082496,2316,2619
350000000000,福建省,1,,1645349607477219328,0,0,1645349604927082496,2620,2825
360000000000,江西省,1,,1645349607477219329,0,0,1645349604927082496,2826,3071
370000000000,山东省,1,,1645349607481413632,0,0,1645349604927082496,3072,3441
410000000000,河南省,1,,1645349607481413633,0,0,1645349604927082496,3442,3875
420000000000,湖北省,1,,1645349607481413634,0,0,1645349604927082496,3876,4139
430000000000,湖南省,1,,1645349607485607936,0,0,1645349604927082496,4140,4465
440000000000,广东省,1,,1645349607485607937,0,0,1645349604927082496,4466,4791
450000000000,广西壮族自治区,1,,1645349607485607938,0,0,1645349604927082496,4792,5071
460000000000,海南省,1,,1645349607485607939,0,0,1645349604927082496,5072,5139
500000000000,重庆市,1,,1645349607485607940,0,0,1645349604927082496,5140,5221
510000000000,四川省,1,,1645349607489802240,0,0,1645349604927082496,5222,5667
520000000000,贵州省,1,,1645349607489802241,0,0,1645349604927082496,5668,5873
530000000000,云南省,1,,1645349607489802242,0,0,1645349604927082496,5874,6181
540000000000,西藏自治区,1,,1645349607489802243,0,0,1645349604927082496,6182,6357
610000000000,陕西省,1,,1645349607493996544,0,0,1645349604927082496,6358,6613
620000000000,甘肃省,1,,1645349607493996545,0,0,1645349604927082496,6614,6841
630000000000,青海省,1,,1645349607493996546,0,0,1645349604927082496,6842,6951
